Ticker Name,Company Name,Stock price
ROP,Roper Technologies Inc.,190.44
ROST,Ross Stores Inc.,65.57
RRC,Range Resources Corp.,34.44
RSG,Republic Services Inc.,56.86
RTN,Raytheon Co.,142.9
SBUX,Starbucks Corp.,55.87
SBUX,Starbucks Corp.,55.87
SCG,Scana Corp.,69.26
SCHW,Charles Schwab Corp.,42.5
SE,Spectra Energy Corp.,43.45
SEE,Sealed Air Corp.,49.23
SHW,Sherwin-Williams Co.,303.12
SIG,Signet Jewelers Ltd.,81.95
SJM,J.M. Smucker Co.,135.82
SLB,Schlumberger Ltd.,84.88
SLG,SL Green Realty Corp.,110.02
SNA,Snap-On Inc.,180.02
SNI,Scripps Networks Interactive Inc. Cl A,76.96
SO,Southern Co.,48.58
SPG,Simon Property Group Inc.,182.09
SPGI,S&P Global Inc.,121.12
SPLS,Staples Inc.,9.32
SRCL,Stericycle Inc.,80
SRE,Sempra Energy,102.28
STI,SunTrust Banks Inc.,58.43
STT,State Street Corp.,76.46
STX,Seagate Technology PLC,44
STZ,Constellation Brands Inc. Cl A,149.5
SWK,Stanley Black & Decker Inc.,124.1
SWKS,Skyworks Solutions Inc.,90.96
SWN,Southwestern Energy Co.,9.79
SYF,Synchrony Financial,36.01
SYK,Stryker Corp.,120.83
SYMC,Symantec Corp.,27.21
SYY,Sysco Corp.,53.03
T,AT&T Inc.,41.73
TAP,Molson Coors Brewing Co. Cl B,96.04
TDC,Teradata Corp.,28.92
TDG,TransDigm Group Inc.,219.9
TEL,TE Connectivity Ltd.,53.01
TGNA,TEGNA Inc.,22.52
TGT,Target Corp.,64.19
TIF,Tiffany & Co.,79.91
TJX,TJX Cos.,75.06
TMK,Torchmark Corp.,74.86
TMO,Thermo Fisher Scientific Inc.,141.5
TRIP,TripAdvisor Inc.,52.18
TROW,T. Rowe Price Group Inc.,70.33
TRV,Travelers Cos. Inc.,118.13
TSCO,Tractor Supply Co.,74.99
TSN,Tyson Foods Inc. Cl A,61.74
TSO,Tesoro Corp.,81.71
TSS,Total System Services Inc.,51.25
TWX,Time Warner Inc.,96.06
TXN,Texas Instruments Inc.,79.2
TXT,Textron Inc.,49
UA,Under Armour Inc. Cl C,25.65
UAA,Under Armour Inc. Cl A,29.15
UAL,United Continental Holdings Inc.,75.8
UDR,UDR Inc.,35.01
UHS,Universal Health Services Inc. Cl B,113.11
ULTA,Ulta Salon Cosmetics & Fragrance Inc.,272.42
UNH,UnitedHealth Group Inc.,163.78
UNM,Unum Group,46.14
UNP,Union Pacific Corp.,110.15
UPS,United Parcel Service Inc. Cl B,116.93
URBN,Urban Outfitters Inc.,26.41
URI,United Rentals Inc.,127
USB,U.S. Bancorp,53.02
UTX,United Technologies Corp.,110.99
V,VISA Inc. Cl A,83.28
VAR,Varian Medical Systems Inc.,86.47
VFC,VF Corp.,52.01
VIAB,Viacom Inc. Cl B,41.85
VLO,Valero Energy Corp.,67.77
VMC,Vulcan Materials Co.,135
VNO,Vornado Realty Trust,107.3
VRSK,Verisk Analytics Inc.,82.53
VRSN,VeriSign Inc.,81.55
VRTX,Vertex Pharmaceuticals Inc.,85.37
VTR,Ventas Inc.,61
VZ,Verizon Communications Inc.,49.18
WAT,Waters Corp.,142.82
WBA,Walgreens Boots Alliance Inc.,81.5
WDC,Western Digital Corp.,78.65
WEC,WEC Energy Group Inc.,58.28
WFC,Wells Fargo & Co.,57.14
WFM,Whole Foods Market Inc.,31.39
WHR,Whirlpool Corp.,174.89
WLTW,Willis Towers Watson PLC,127.58
WM,Waste Management Inc.,69.55
WMB,Williams Cos.,29
WMT,Wal-Mart Stores Inc.,66.75
WRK,WestRock Co.,54.83
WU,Western Union Co.,19.59
WY,Weyerhaeuser Co.,31.88
WYN,Wyndham Worldwide Corp.,81
WYNN,Wynn Resorts Ltd.,101.92
XEC,Cimarex Energy Co.,141.16
XEL,Xcel Energy Inc.,41.03
XL,XL Group Ltd.,37.97
XLNX,Xilinx Inc.,57.37
XOM,Exxon Mobil Corp.,85.51
XRAY,Dentsply Sirona Inc.,56.6
XRX,Xerox Corp.,6.96
XYL,Xylem Inc.,50.09
YHOO,Yahoo! Inc.,44.74
